#Alborz Namazi Math 708

param 	SN :	1	2	3	4	:=			#student numbers
			1 	02	03	03	03
			2	00	00	00	00	
			3	00	01	01	01
			4	01	03	02	02
			5	01	04	09	09
			6	05	09	07	09
			7	05	05	08	00
			8	08	07	06	06
			9	02	00	00	09;

param 	PI :=								#number pi	
			1	03
			2	01
			3	04
			4	01
			5	05
			6	09
			7	02
			8	06
			9	05;	
			
param 	PNa :=								#personal knapsack solution	from assignment 1 part a
			1	0
			2  	1
			3  	1
			4  	1
			5  	1
			6  	1
			7  	0
			8  	0
			9  	0;
			
param 	PNb :=								#personal knapsack solution	from assignment 1 part b
			1	0
			2  	0.9
			3  	1
			4  	0
			5  	1
			6  	1
			7  	0
			8  	0
			9  	1;
			
param 	PNc :=								#personal knapsack solution	from assignment 1 part c
			1	0
			2  	0.9
			3  	1
			4  	0
			5  	1
			6  	1
			7  	0
			8  	0
			9  	1;
