Vancouver,Vancouver,BC,British Columbia,49.25,-123.1,2264823.0,5492.6,America/Vancouver,1,V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5S V5P V5Z V5N V5L V5M V5K V5V V5W V5T V5R V5X V5Y,1124825478
Surrey,Surrey,BC,British Columbia,49.19,-122.8489,517887.0,1636.8,America/Vancouver,2,V4A V4N V4P V3R V3S V3T V3V V3W V3X V3Z,1124001454
Victoria,Victoria,BC,British Columbia,48.4283,-123.3647,335696.0,4406.3,America/Vancouver,1,V8T V8W V8S V8R V9A V8V,1124147219
Burnaby,Burnaby,BC,British Columbia,49.2667,-122.9667,232755.0,2568.7,America/Vancouver,2,V5B V5G V5E V5C V5J V5H V5A V3J V3N,1124817304
Richmond,Richmond,BC,British Columbia,49.1667,-123.1333,198309.0,1534.1,America/Vancouver,2,V6Y V6X V6W V6V V7E V7A V7B V7C,1124121940
Kelowna,Kelowna,BC,British Columbia,49.8881,-119.4956,142146.0,601.3,America/Vancouver,2,V1X V1Y V1P V1W V1V,1124080626
Abbotsford,Abbotsford,BC,British Columbia,49.05,-122.3167,141397.0,376.5,America/Vancouver,2,V4X V2S V2T V3G,1124808029
Coquitlam,Coquitlam,BC,British Columbia,49.2839,-122.7919,139284.0,1138.9,America/Vancouver,2,V3B V3C V3E V3J V3K,1124000500
Langley,Langley,BC,British Columbia,49.1044,-122.5827,117285.0,380.8,America/Vancouver,2,V1M V4W V2Z V2Y V3A,1124000480
Saanich,Saanich,BC,British Columbia,48.484,-123.381,114148.0,1099.9,America/Vancouver,2,V8N V8X V8Z V8P V8R V9A V9E V8Y,1124000949
Delta,Delta,BC,British Columbia,49.0847,-123.0586,102238.0,567.4,America/Vancouver,2,V4C V4E V4G V4K V4M V4L,1124001200
Kamloops,Kamloops,BC,British Columbia,50.6761,-120.3408,100046.0,301.7,America/Vancouver,2,V1S V2C V2B V2E,1124735582
Nanaimo,Nanaimo,BC,British Columbia,49.1642,-123.9364,90504.0,918.0,America/Vancouver,3,V9R V9S V9V V9T,1124623893
North Vancouver,North Vancouver,BC,British Columbia,49.3641,-123.0066,85935.0,534.6,America/Vancouver,3,V7P V7R V7L V7N V7H V7J V7K V7G,1124000146
Chilliwack,Chilliwack,BC,British Columbia,49.1577,-121.9509,83788.0,320.2,America/Vancouver,3,V4Z V2R V2P,1124531262
